00,"Procedures and interventions&#44; Not Elsewhere Classified"
00.0,"Therapeutic ultrasound Excludes:   diagnostic ultrasound (non-invasive) (88.71-88.79) intracardiac echocardiography [ICE] (heart chamber(s)) (37.28) intravascular imaging (adjunctive) (00.21-00.29)"
00.01,"Therapeutic ultrasound of vessels of head and neck Anti-restenotic ultrasound Intravascular non-ablative ultrasound Excludes: diagnostic ultrasound of: eye (95.13) head and neck (88.71) that of inner ear (20.79) ultrasonic: angioplasty of non-coronary vessel (39.50) embolectomy (38.01&#44; 38.02) endarterectomy (38.11&#44; 38.12) thrombectomy (38.01&#44; 38.02)"
00.02,"Therapeutic ultrasound of heart Anti-restenotic ultrasound Intravascular non-ablative ultrasound Excludes:diagnostic ultrasound of heart (88.72) ultrasonic ablation of heart lesion (37.34) ultrasonic angioplasty of coronary vessels (00.66&#44; 36.09)"
00.03,"Therapeutic ultrasound of peripheral vascular vessels Anti-restenotic ultrasound Intravascular non-ablative ultrasound Excludes:diagnostic ultrasound of peripheral vascular system (88.77) ultrasonic angioplasty of: non-coronary vessel (39.50)"
00.09,"Other therapeutic ultrasound Excludes:ultrasonic: fragmentation of urinary stones (59.95) percutaneous nephrostomy with fragmentation (55.04) physical therapy (93.35) transurethral guided laser induced prostatectomy (TULIP) (60.21)"
00.1,"Pharamaceuticals"
00.10,"Implantation of chemotherapeutic agent Brain wafer chemotherapy Interstitial/ intracavitary Excludes:injection or infusion of cancer chemotherapeutic substance (99.25)"
00.11,"Infusion of drotrecogin alfa (activated) Infusion of recombinant protein"
00.12,"Administration of inhaled nitric oxide Nitric oxide therapy"
00.13,"Injection or infusion of nesiritide Human B-type natriuretic peptide (hBNP)"
00.14,"Injection or infusion of oxazolidinone class of antibiotics Linezolid injection"
00.15,"High-dose infusion interleukin-2 [IL-2] Infusion (IV bolus&#44; CIV) interleukin Injection of aldesleukin Excludes: low-dose infusion interleukin-2 (99.28)"
00.16,"Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance Ex-vivo treatment of vessel Hyperbaric pressurized graft [conduit]"
00.17,"Infusion of vasopressor agent"
